;UKX Index;;HSBA LN Equity;;BP/ LN Equity;;BATS LN Equity;;GSK LN Equity;;AZN LN Equity;;DGE LN Equity;;VOD LN Equity;;RIO LN Equity;;ULVR LN Equity;;PRU LN Equity;;LLOY LN Equity;;1986986D LN Equity;;RKT LN Equity;;SHP LN Equity;;BARC LN Equity;;NG/ LN Equity;;IMB LN Equity;;CPG LN Equity;;TSCO LN Equity;;BA/ LN Equity;;AV/ LN Equity;;STAN LN Equity;;AAL LN Equity;;REL LN Equity;;BT/A LN Equity;;LGEN LN Equity;;WPP LN Equity;;2462936D LN Equity;;SSE LN Equity;;SKY LN Equity;;RR/ LN Equity;;SN/ LN Equity;;OML LN Equity;;IAG LN Equity;;ABF LN Equity;;III LN Equity;;NWG LN Equity;;CCL LN Equity;;CNA LN Equity;;NXT LN Equity;;SGE LN Equity;;SMIN LN Equity;;PSON LN Equity;;RSA LN Equity;;BLND LN Equity;;LAND LN Equity;;KGF LN Equity;;RTO LN Equity;;UU/ LN Equity;;MRW LN Equity;;SBRY LN Equity;;SVT LN Equity;;MKS LN Equity;;SDR LN Equity
12/12/2005;5501,50;12/12/2005;793,01;12/12/2005;630,50;12/12/2005;1270,00;12/12/2005;1450,62;12/12/2005;2712,00;12/12/2005;839,00;12/12/2005;182,61;12/12/2005;2057,00;12/12/2005;1257,78;12/12/2005;439,28;12/12/2005;238,86;12/12/2005;834,72;12/12/2005;1751,50;12/12/2005;725,00;12/12/2005;536,62;12/12/2005;502,44;12/12/2005;1499,35;12/12/2005;233,43;12/12/2005;416,73;12/12/2005;337,25;12/12/2005;902,63;12/12/2005;957,56;12/12/2005;1947,45;12/12/2005;603,00;12/12/2005;216,75;12/12/2005;120,00;12/12/2005;621,00;12/12/2005;5767,74;12/12/2005;993,00;12/12/2005;492,00;12/12/2005;136,07;12/12/2005;535,00;12/12/2005;145,32;12/12/2005;219,78;12/12/2005;831,50;12/12/2005;745,46;12/12/2005;5098,15;12/12/2005;3221,00;12/12/2005;212,55;12/12/2005;1510,00;12/12/2005;257,46;12/12/2005;1461,75;12/12/2005;677,50;12/12/2005;522,63;12/12/2005;802,06;12/12/2005;1498,80;12/12/2005;226,25;12/12/2005;166,50;12/12/2005;869,00;12/12/2005;182,75;12/12/2005;297,00;12/12/2005;1300,40;12/12/2005;464,34;12/12/2005;159,80
13/12/2005;5507,20;13/12/2005;795,62;13/12/2005;634,00;13/12/2005;1275,00;13/12/2005;1470,85;13/12/2005;2743,00;13/12/2005;829,00;13/12/2005;177,63;13/12/2005;2043,78;13/12/2005;1272,22;13/12/2005;435,87;13/12/2005;238,11;13/12/2005;830,52;13/12/2005;1754,44;13/12/2005;726,50;13/12/2005;536,17;13/12/2005;507,45;13/12/2005;1505,44;13/12/2005;232,05;13/12/2005;414,83;13/12/2005;336,75;13/12/2005;900,66;13/12/2005;967,99;13/12/2005;1944,38;13/12/2005;598,96;13/12/2005;217,75;13/12/2005;118,50;13/12/2005;619,50;13/12/2005;5767,74;13/12/2005;1002,00;13/12/2005;491,50;13/12/2005;136,58;13/12/2005;540,50;13/12/2005;143,01;13/12/2005;222,43;13/12/2005;835,50;13/12/2005;748,49;13/12/2005;5107,17;13/12/2005;3251,00;13/12/2005;216,33;13/12/2005;1505,00;13/12/2005;257,20;13/12/2005;1458,75;13/12/2005;681,00;13/12/2005;532,62;13/12/2005;810,76;13/12/2005;1503,63;13/12/2005;226,00;13/12/2005;162,75;13/12/2005;873,53;13/12/2005;182,25;13/12/2005;299,25;13/12/2005;1320,04;13/12/2005;457,17;13/12/2005;160,65
14/12/2005;5521,10;14/12/2005;798,67;14/12/2005;630,00;14/12/2005;1284,00;14/12/2005;1468,83;14/12/2005;2768,00;14/12/2005;825,00;14/12/2005;179,41;14/12/2005;2054,52;14/12/2005;1280,00;14/12/2005;443,13;14/12/2005;238,24;14/12/2005;830,98;14/12/2005;1767,14;14/12/2005;719,00;14/12/2005;540,22;14/12/2005;504,26;14/12/2005;1506,31;14/12/2005;233,16;14/12/2005;416,10;14/12/2005;345,75;14/12/2005;898,03;14/12/2005;981,63;14/12/2005;1926,95;14/12/2005;594,91;14/12/2005;218,00;14/12/2005;118,25;14/12/2005;624,00;14/12/2005;5762,99;14/12/2005;1005,00;14/12/2005;491,00;14/12/2005;137,87;14/12/2005;540,00;14/12/2005;140,71;14/12/2005;224,09;14/12/2005;838,50;14/12/2005;748,92;14/12/2005;5185,33;14/12/2005;3280,00;14/12/2005;215,44;14/12/2005;1523,00;14/12/2005;257,20;14/12/2005;1512,75;14/12/2005;679,50;14/12/2005;535,95;14/12/2005;831,06;14/12/2005;1554,81;14/12/2005;229,00;14/12/2005;163,00;14/12/2005;868,35;14/12/2005;184,00;14/12/2005;299,50;14/12/2005;1274,61;14/12/2005;465,54;14/12/2005;160,65
15/12/2005;5495,30;15/12/2005;801,72;15/12/2005;624,00;15/12/2005;1298,00;15/12/2005;1450,62;15/12/2005;2729,00;15/12/2005;835,50;15/12/2005;178,34;15/12/2005;2028,09;15/12/2005;1277,78;15/12/2005;436,29;15/12/2005;237,62;15/12/2005;819,33;15/12/2005;1759,32;15/12/2005;720,00;15/12/2005;536,62;15/12/2005;498,80;15/12/2005;1523,72;15/12/2005;235,64;15/12/2005;412,93;15/12/2005;345,25;15/12/2005;898,68;15/12/2005;987,25;15/12/2005;1915,68;15/12/2005;597,80;15/12/2005;219,25;15/12/2005;116,75;15/12/2005;617,50;15/12/2005;5762,99;15/12/2005;995,00;15/12/2005;492,50;15/12/2005;139,16;15/12/2005;533,00;15/12/2005;141,17;15/12/2005;223,59;15/12/2005;831,00;15/12/2005;732,90;15/12/2005;5137,23;15/12/2005;3226,00;15/12/2005;212,32;15/12/2005;1532,00;15/12/2005;257,73;15/12/2005;1530,00;15/12/2005;680,00;15/12/2005;535,95;15/12/2005;848,04;15/12/2005;1602,13;15/12/2005;234,00;15/12/2005;161,75;15/12/2005;869,00;15/12/2005;184,00;15/12/2005;298,00;15/12/2005;1262,33;15/12/2005;466,02;15/12/2005;160,23
16/12/2005;5531,60;16/12/2005;803,03;16/12/2005;624,00;16/12/2005;1288,00;16/12/2005;1476,92;16/12/2005;2747,00;16/12/2005;829,00;16/12/2005;175,85;16/12/2005;2056,17;16/12/2005;1294,44;16/12/2005;445,27;16/12/2005;239,85;16/12/2005;821,19;16/12/2005;1813,08;16/12/2005;725,50;16/12/2005;539,77;16/12/2005;506,08;16/12/2005;1541,12;16/12/2005;241,17;16/12/2005;413,88;16/12/2005;352,00;16/12/2005;907,24;16/12/2005;1010,53;16/12/2005;1931,05;16/12/2005;603,00;16/12/2005;222,25;16/12/2005;118,75;16/12/2005;627,50;16/12/2005;5801,03;16/12/2005;1002,00;16/12/2005;501,00;16/12/2005;139,58;16/12/2005;537,00;16/12/2005;144,40;16/12/2005;226,57;16/12/2005;839,50;16/12/2005;742,86;16/12/2005;5233,42;16/12/2005;3150,00;16/12/2005;216,78;16/12/2005;1555,00;16/12/2005;263,25;16/12/2005;1519,50;16/12/2005;692,00;16/12/2005;549,27;16/12/2005;849,70;16/12/2005;1595,37;16/12/2005;239,00;16/12/2005;161,75;16/12/2005;883,24;16/12/2005;188,00;16/12/2005;305,50;16/12/2005;1275,84;16/12/2005;468,17;16/12/2005;161,16
19/12/2005;5539,80;19/12/2005;805,21;19/12/2005;621,00;19/12/2005;1300,00;19/12/2005;1500,19;19/12/2005;2830,00;19/12/2005;831,50;19/12/2005;174,43;19/12/2005;2086,74;19/12/2005;1272,22;19/12/2005;448,69;19/12/2005;241,34;19/12/2005;833,32;19/12/2005;1818,94;19/12/2005;732,50;19/12/2005;540,22;19/12/2005;507,90;19/12/2005;1535,90;19/12/2005;243,65;19/12/2005;411,98;19/12/2005;350,25;19/12/2005;905,26;19/12/2005;1012,13;19/12/2005;1940,28;19/12/2005;605,31;19/12/2005;223,00;19/12/2005;119,50;19/12/2005;625,00;19/12/2005;5824,80;19/12/2005;1003,50;19/12/2005;504,50;19/12/2005;140,18;19/12/2005;538,00;19/12/2005;144,17;19/12/2005;223,76;19/12/2005;839,00;19/12/2005;745,46;19/12/2005;5227,41;19/12/2005;3183,00;19/12/2005;215,22;19/12/2005;1528,00;19/12/2005;262,46;19/12/2005;1524,00;19/12/2005;691,00;19/12/2005;535,95;19/12/2005;857,99;19/12/2005;1586,68;19/12/2005;235,00;19/12/2005;163,25;19/12/2005;879,35;19/12/2005;187,00;19/12/2005;309,00;19/12/2005;1270,92;19/12/2005;467,69;19/12/2005;160,91
20/12/2005;5547,90;20/12/2005;808,69;20/12/2005;620,00;20/12/2005;1290,00;20/12/2005;1492,09;20/12/2005;2790,00;20/12/2005;831,00;20/12/2005;175,49;20/12/2005;2118,13;20/12/2005;1256,67;20/12/2005;451,25;20/12/2005;240,47;20/12/2005;844,97;20/12/2005;1832,63;20/12/2005;726,50;20/12/2005;542,92;20/12/2005;511,54;20/12/2005;1534,16;20/12/2005;242,82;20/12/2005;416,73;20/12/2005;347,75;20/12/2005;912,50;20/12/2005;1022,57;20/12/2005;1950,53;20/12/2005;604,16;20/12/2005;223,25;20/12/2005;119,50;20/12/2005;624,00;20/12/2005;5805,78;20/12/2005;1011,50;20/12/2005;502,00;20/12/2005;140,18;20/12/2005;535,50;20/12/2005;145,78;20/12/2005;222,76;20/12/2005;835,00;20/12/2005;743,73;20/12/2005;5248,45;20/12/2005;3240,00;20/12/2005;218,78;20/12/2005;1514,00;20/12/2005;265,62;20/12/2005;1526,25;20/12/2005;691,50;20/12/2005;541,50;20/12/2005;859,23;20/12/2005;1579,92;20/12/2005;233,25;20/12/2005;164,00;20/12/2005;887,12;20/12/2005;189,50;20/12/2005;312,50;20/12/2005;1293,03;20/12/2005;467,93;20/12/2005;160,74
21/12/2005;5587,40;21/12/2005;814,79;21/12/2005;625,00;21/12/2005;1286,00;21/12/2005;1486,02;21/12/2005;2769,00;21/12/2005;838,00;21/12/2005;174,43;21/12/2005;2165,22;21/12/2005;1274,44;21/12/2005;460,65;21/12/2005;242,83;21/12/2005;858,96;21/12/2005;1837,51;21/12/2005;729,00;21/12/2005;549,21;21/12/2005;521,10;21/12/2005;1515,88;21/12/2005;238,96;21/12/2005;419,58;21/12/2005;370,00;21/12/2005;922,37;21/12/2005;1018,56;21/12/2005;1986,40;21/12/2005;616,28;21/12/2005;224,75;21/12/2005;119,75;21/12/2005;627,00;21/12/2005;5848,58;21/12/2005;1018,00;21/12/2005;501,50;21/12/2005;143,62;21/12/2005;534,00;21/12/2005;148,09;21/12/2005;223,92;21/12/2005;833,50;21/12/2005;743,29;21/12/2005;5332,62;21/12/2005;3272,00;21/12/2005;220,78;21/12/2005;1520,00;21/12/2005;269,83;21/12/2005;1545,00;21/12/2005;689,50;21/12/2005;541,50;21/12/2005;856,74;21/12/2005;1577,99;21/12/2005;237,75;21/12/2005;163,00;21/12/2005;876,12;21/12/2005;190,00;21/12/2005;317,50;21/12/2005;1299,17;21/12/2005;467,69;21/12/2005;160,23
22/12/2005;5597,00;22/12/2005;816,54;22/12/2005;622,50;22/12/2005;1284,00;22/12/2005;1485,01;22/12/2005;2778,00;22/12/2005;837,50;22/12/2005;175,85;22/12/2005;2165,22;22/12/2005;1276,67;22/12/2005;467,06;22/12/2005;242,83;22/12/2005;851,50;22/12/2005;1832,63;22/12/2005;736,00;22/12/2005;551,46;22/12/2005;522,01;22/12/2005;1501,09;22/12/2005;241,17;22/12/2005;417,37;22/12/2005;385,00;22/12/2005;925,00;22/12/2005;1028,19;22/12/2005;1984,35;22/12/2005;621,48;22/12/2005;224,25;22/12/2005;120,25;22/12/2005;624,00;22/12/2005;5891,37;22/12/2005;1021,50;22/12/2005;497,00;22/12/2005;144,82;22/12/2005;533,50;22/12/2005;149,70;22/12/2005;222,10;22/12/2005;833,50;22/12/2005;739,83;22/12/2005;5320,60;22/12/2005;3252,00;22/12/2005;222,34;22/12/2005;1534,00;22/12/2005;266,67;22/12/2005;1554,75;22/12/2005;684,00;22/12/2005;543,72;22/12/2005;859,23;22/12/2005;1576,06;22/12/2005;236,75;22/12/2005;162,75;22/12/2005;874,82;22/12/2005;191,25;22/12/2005;315,25;22/12/2005;1317,59;22/12/2005;471,75;22/12/2005;161,25
23/12/2005;5595,50;23/12/2005;815,23;23/12/2005;621,50;23/12/2005;1279,00;23/12/2005;1477,93;23/12/2005;2795,00;23/12/2005;839,00;23/12/2005;176,21;23/12/2005;2176,78;23/12/2005;1278,89;23/12/2005;466,21;23/12/2005;242,83;23/12/2005;862,69;23/12/2005;1851,20;23/12/2005;742,50;23/12/2005;551,46;23/12/2005;512,91;23/12/2005;1488,91;23/12/2005;240,34;23/12/2005;413,88;23/12/2005;378,50;23/12/2005;926,32;23/12/2005;1020,16;23/12/2005;1991,53;23/12/2005;623,79;23/12/2005;224,75;23/12/2005;120,75;23/12/2005;624,00;23/12/2005;5910,39;23/12/2005;1015,00;23/12/2005;497,50;23/12/2005;145,85;23/12/2005;531,50;23/12/2005;150,62;23/12/2005;222,10;23/12/2005;837,50;23/12/2005;734,64;23/12/2005;5341,64;23/12/2005;3292,00;23/12/2005;224,12;23/12/2005;1544,00;23/12/2005;271,14;23/12/2005;1550,25;23/12/2005;681,00;23/12/2005;551,48;23/12/2005;866,27;23/12/2005;1576,06;23/12/2005;237,50;23/12/2005;162,75;23/12/2005;869,65;23/12/2005;191,00;23/12/2005;317,00;23/12/2005;1308,99;23/12/2005;476,78;23/12/2005;161,50
28/12/2005;5622,80;28/12/2005;815,66;28/12/2005;621,00;28/12/2005;1301,00;28/12/2005;1490,07;28/12/2005;2831,00;28/12/2005;842,50;28/12/2005;178,34;28/12/2005;2180,92;28/12/2005;1290,00;28/12/2005;468,34;28/12/2005;242,46;28/12/2005;872,02;28/12/2005;1868,79;28/12/2005;742,00;28/12/2005;552,36;28/12/2005;518,83;28/12/2005;1510,66;28/12/2005;243,10;28/12/2005;417,37;28/12/2005;383,00;28/12/2005;925,00;28/12/2005;1033,00;28/12/2005;2013,05;28/12/2005;627,26;28/12/2005;222,25;28/12/2005;121,50;28/12/2005;628,50;28/12/2005;5862,84;28/12/2005;1022,00;28/12/2005;499,00;28/12/2005;146,88;28/12/2005;535,00;28/12/2005;152,47;28/12/2005;222,76;28/12/2005;842,00;28/12/2005;739,83;28/12/2005;5314,58;28/12/2005;3280,00;28/12/2005;224,79;28/12/2005;1545,00;28/12/2005;269,30;28/12/2005;1560,00;28/12/2005;685,50;28/12/2005;555,92;28/12/2005;869,17;28/12/2005;1582,82;28/12/2005;240,50;28/12/2005;163,25;28/12/2005;882,59;28/12/2005;194,25;28/12/2005;320,50;28/12/2005;1333,55;28/12/2005;482,28;28/12/2005;161,59
29/12/2005;5638,30;29/12/2005;815,66;29/12/2005;623,00;29/12/2005;1311,00;29/12/2005;1494,12;29/12/2005;2837,00;29/12/2005;845,50;29/12/2005;179,77;29/12/2005;2194,96;29/12/2005;1288,89;29/12/2005;471,33;29/12/2005;242,83;29/12/2005;880,41;29/12/2005;1881,50;29/12/2005;753,00;29/12/2005;552,36;29/12/2005;517,92;29/12/2005;1525,46;29/12/2005;243,10;29/12/2005;418,00;29/12/2005;388,00;29/12/2005;933,55;29/12/2005;1037,02;29/12/2005;2024,33;29/12/2005;630,72;29/12/2005;222,25;29/12/2005;121,75;29/12/2005;630,50;29/12/2005;5843,82;29/12/2005;1021,00;29/12/2005;498,00;29/12/2005;147,73;29/12/2005;536,00;29/12/2005;151,78;29/12/2005;222,93;29/12/2005;838,00;29/12/2005;739,40;29/12/2005;5317,59;29/12/2005;3312,00;29/12/2005;225,68;29/12/2005;1545,00;29/12/2005;272,98;29/12/2005;1578,00;29/12/2005;685,50;29/12/2005;562,58;29/12/2005;879,53;29/12/2005;1594,41;29/12/2005;240,00;29/12/2005;164,25;29/12/2005;869,65;29/12/2005;195,75;29/12/2005;320,25;29/12/2005;1324,95;29/12/2005;487,77;29/12/2005;162,27
30/12/2005;5618,80;30/12/2005;813,05;30/12/2005;619,00;30/12/2005;1300,00;30/12/2005;1486,02;30/12/2005;2829,00;30/12/2005;842,50;30/12/2005;178,70;30/12/2005;2193,31;30/12/2005;1281,11;30/12/2005;470,05;30/12/2005;242,33;30/12/2005;885,54;30/12/2005;1876,61;30/12/2005;744,00;30/12/2005;549,66;30/12/2005;517,46;30/12/2005;1511,53;30/12/2005;243,65;30/12/2005;419,90;30/12/2005;381,75;30/12/2005;927,63;30/12/2005;1039,42;30/12/2005;2028,43;30/12/2005;630,72;30/12/2005;222,75;30/12/2005;122,00;30/12/2005;629,00;30/12/2005;5824,80;30/12/2005;1014,00;30/12/2005;496,50;30/12/2005;146,70;30/12/2005;535,50;30/12/2005;152,01;30/12/2005;221,44;30/12/2005;839,00;30/12/2005;733,77;30/12/2005;5275,51;30/12/2005;3300,00;30/12/2005;226,79;30/12/2005;1535,00;30/12/2005;271,40;30/12/2005;1569,00;30/12/2005;687,50;30/12/2005;558,14;30/12/2005;883,26;30/12/2005;1606,00;30/12/2005;237,25;30/12/2005;163,50;30/12/2005;868,35;30/12/2005;193,50;30/12/2005;315,25;30/12/2005;1331,09;30/12/2005;482,99;30/12/2005;161,50
03/01/2006;5681,50;03/01/2006;812,61;03/01/2006;637,00;03/01/2006;1311,00;03/01/2006;1472,87;03/01/2006;2870,00;03/01/2006;846,00;03/01/2006;180,83;03/01/2006;2232,96;03/01/2006;1294,44;03/01/2006;478,17;03/01/2006;242,95;03/01/2006;898,60;03/01/2006;1871,72;03/01/2006;744,00;03/01/2006;555,51;03/01/2006;517,92;03/01/2006;1508,05;03/01/2006;250,28;03/01/2006;411,98;03/01/2006;386,50;03/01/2006;931,58;03/01/2006;1054,68;03/01/2006;2090,95;03/01/2006;635,92;03/01/2006;220,50;03/01/2006;123,75;03/01/2006;637,50;03/01/2006;5753,48;03/01/2006;1023,50;03/01/2006;497,50;03/01/2006;149,11;03/01/2006;536,50;03/01/2006;153,16;03/01/2006;222,76;03/01/2006;840,50;03/01/2006;752,82;03/01/2006;5416,79;03/01/2006;3283,00;03/01/2006;226,35;03/01/2006;1523,00;03/01/2006;272,19;03/01/2006;1552,50;03/01/2006;687,00;03/01/2006;568,13;03/01/2006;890,71;03/01/2006;1605,03;03/01/2006;234,50;03/01/2006;165,25;03/01/2006;874,18;03/01/2006;195,25;03/01/2006;321,75;03/01/2006;1332,32;03/01/2006;475,34;03/01/2006;163,80
04/01/2006;5714,60;04/01/2006;813,05;04/01/2006;634,00;04/01/2006;1290,00;04/01/2006;1500,19;04/01/2006;2900,00;04/01/2006;848,00;04/01/2006;182,61;04/01/2006;2246,18;04/01/2006;1275,56;04/01/2006;488,85;04/01/2006;244,44;04/01/2006;906,53;04/01/2006;1857,06;04/01/2006;760,00;04/01/2006;564,06;04/01/2006;517,92;04/01/2006;1489,78;04/01/2006;254,70;04/01/2006;415,15;04/01/2006;395,75;04/01/2006;955,26;04/01/2006;1077,95;04/01/2006;2100,17;04/01/2006;640,54;04/01/2006;219,50;04/01/2006;126,50;04/01/2006;641,50;04/01/2006;5867,60;04/01/2006;1020,00;04/01/2006;498,50;04/01/2006;151,51;04/01/2006;546,50;04/01/2006;156,39;04/01/2006;224,09;04/01/2006;857,50;04/01/2006;760,18;04/01/2006;5467,89;04/01/2006;3275,00;04/01/2006;223,90;04/01/2006;1680,00;04/01/2006;276,40;04/01/2006;1532,25;04/01/2006;698,50;04/01/2006;570,35;04/01/2006;903,14;04/01/2006;1621,45;04/01/2006;234,25;04/01/2006;168,25;04/01/2006;872,24;04/01/2006;196,75;04/01/2006;323,75;04/01/2006;1332,32;04/01/2006;477,73;04/01/2006;166,43
05/01/2006;5691,20;05/01/2006;818,28;05/01/2006;634,50;05/01/2006;1279,00;05/01/2006;1513,34;05/01/2006;2896,00;05/01/2006;838,50;05/01/2006;182,26;05/01/2006;2190,00;05/01/2006;1274,44;05/01/2006;485,43;05/01/2006;244,32;05/01/2006;889,27;05/01/2006;1840,45;05/01/2006;756,50;05/01/2006;559,11;05/01/2006;514,73;05/01/2006;1482,82;05/01/2006;248,63;05/01/2006;411,35;05/01/2006;393,50;05/01/2006;954,61;05/01/2006;1057,08;05/01/2006;2045,85;05/01/2006;639,97;05/01/2006;217,75;05/01/2006;126,00;05/01/2006;632,50;05/01/2006;5862,84;05/01/2006;1022,50;05/01/2006;506,00;05/01/2006;150,82;05/01/2006;548,50;05/01/2006;156,62;05/01/2006;222,10;05/01/2006;855,00;05/01/2006;767,97;05/01/2006;5401,76;05/01/2006;3269,00;05/01/2006;223,01;05/01/2006;1690,00;05/01/2006;274,56;05/01/2006;1524,75;05/01/2006;692,50;05/01/2006;568,13;05/01/2006;898,17;05/01/2006;1591,51;05/01/2006;233,00;05/01/2006;168,00;05/01/2006;849,59;05/01/2006;194,75;05/01/2006;321,00;05/01/2006;1305,31;05/01/2006;477,97;05/01/2006;166,69
06/01/2006;5731,80;06/01/2006;824,81;06/01/2006;642,50;06/01/2006;1279,00;06/01/2006;1495,13;06/01/2006;2900,00;06/01/2006;841,00;06/01/2006;188,67;06/01/2006;2208,18;06/01/2006;1283,33;06/01/2006;493,98;06/01/2006;246,92;06/01/2006;912,12;06/01/2006;1870,75;06/01/2006;762,00;06/01/2006;564,51;06/01/2006;512,45;06/01/2006;1479,34;06/01/2006;253,32;06/01/2006;407,55;06/01/2006;408,50;06/01/2006;965,13;06/01/2006;1060,29;06/01/2006;2084,80;06/01/2006;641,12;06/01/2006;223,00;06/01/2006;127,50;06/01/2006;633,50;06/01/2006;5848,58;06/01/2006;1014,00;06/01/2006;514,50;06/01/2006;152,02;06/01/2006;548,00;06/01/2006;157,77;06/01/2006;221,60;06/01/2006;857,00;06/01/2006;775,76;06/01/2006;5428,81;06/01/2006;3231,00;06/01/2006;222,34;06/01/2006;1681,00;06/01/2006;270,88;06/01/2006;1534,50;06/01/2006;698,00;06/01/2006;562,58;06/01/2006;896,10;06/01/2006;1575,09;06/01/2006;234,50;06/01/2006;166,50;06/01/2006;848,94;06/01/2006;196,00;06/01/2006;319,75;06/01/2006;1312,67;06/01/2006;478,93;06/01/2006;169,32
09/01/2006;5731,50;09/01/2006;844,42;09/01/2006;643,00;09/01/2006;1275,00;09/01/2006;1508,28;09/01/2006;2878,00;09/01/2006;843,00;09/01/2006;186,17;09/01/2006;2230,48;09/01/2006;1282,22;09/01/2006;490,14;09/01/2006;247,91;09/01/2006;920,52;09/01/2006;1842,40;09/01/2006;770,00;09/01/2006;564,96;09/01/2006;504,72;09/01/2006;1480,21;09/01/2006;252,49;09/01/2006;404,38;09/01/2006;405,00;09/01/2006;951,97;09/01/2006;1067,52;09/01/2006;2063,28;09/01/2006;641,12;09/01/2006;223,25;09/01/2006;127,00;09/01/2006;632,00;09/01/2006;5886,62;09/01/2006;1009,50;09/01/2006;516,00;09/01/2006;148,94;09/01/2006;546,00;09/01/2006;157,31;09/01/2006;219,28;09/01/2006;862,00;09/01/2006;791,35;09/01/2006;5386,73;09/01/2006;3264,00;09/01/2006;222,56;09/01/2006;1673,00;09/01/2006;271,93;09/01/2006;1517,25;09/01/2006;702,00;09/01/2006;557,03;09/01/2006;870,00;09/01/2006;1522,94;09/01/2006;233,00;09/01/2006;164,50;09/01/2006;842,47;09/01/2006;196,75;09/01/2006;321,25;09/01/2006;1301,62;09/01/2006;480,12;09/01/2006;170,00
10/01/2006;5688,80;10/01/2006;835,71;10/01/2006;643,50;10/01/2006;1278,00;10/01/2006;1490,07;10/01/2006;2835,00;10/01/2006;842,50;10/01/2006;185,82;10/01/2006;2175,96;10/01/2006;1291,11;10/01/2006;479,45;10/01/2006;245,80;10/01/2006;900,93;10/01/2006;1831,65;10/01/2006;767,50;10/01/2006;556,86;10/01/2006;504,26;10/01/2006;1478,47;10/01/2006;254,70;10/01/2006;405,02;10/01/2006;401,25;10/01/2006;940,79;10/01/2006;1040,23;10/01/2006;1997,68;10/01/2006;625,53;10/01/2006;222,00;10/01/2006;125,50;10/01/2006;635,00;10/01/2006;5924,66;10/01/2006;1017,00;10/01/2006;510,50;10/01/2006;146,19;10/01/2006;544,50;10/01/2006;155,01;10/01/2006;213,31;10/01/2006;858,50;10/01/2006;783,55;10/01/2006;5341,64;10/01/2006;3238,00;10/01/2006;222,56;10/01/2006;1704,00;10/01/2006;266,14;10/01/2006;1515,75;10/01/2006;685,00;10/01/2006;543,72;10/01/2006;870,00;10/01/2006;1539,36;10/01/2006;228,00;10/01/2006;165,25;10/01/2006;856,06;10/01/2006;196,75;10/01/2006;322,50;10/01/2006;1312,67;10/01/2006;471,04;10/01/2006;168,64
11/01/2006;5731,50;11/01/2006;837,89;11/01/2006;640,50;11/01/2006;1269,00;11/01/2006;1491,08;11/01/2006;2864,00;11/01/2006;848,50;11/01/2006;186,53;11/01/2006;2246,18;11/01/2006;1313,33;11/01/2006;484,15;11/01/2006;250,52;11/01/2006;912,59;11/01/2006;1825,79;11/01/2006;795,00;11/01/2006;563,61;11/01/2006;507,45;11/01/2006;1470,63;11/01/2006;259,95;11/01/2006;409,45;11/01/2006;406,75;11/01/2006;948,68;11/01/2006;1045,85;11/01/2006;2022,28;11/01/2006;634,77;11/01/2006;223,00;11/01/2006;128,50;11/01/2006;645,00;11/01/2006;6100,59;11/01/2006;1024,00;11/01/2006;520,50;11/01/2006;146,53;11/01/2006;545,00;11/01/2006;156,85;11/01/2006;225,08;11/01/2006;855,00;11/01/2006;794,81;11/01/2006;5416,79;11/01/2006;3261,00;11/01/2006;222,12;11/01/2006;1724,00;11/01/2006;268,77;11/01/2006;1523,25;11/01/2006;688,00;11/01/2006;552,59;11/01/2006;876,63;11/01/2006;1539,36;11/01/2006;232,75;11/01/2006;163,25;11/01/2006;850,88;11/01/2006;204,00;11/01/2006;324,25;11/01/2006;1347,06;11/01/2006;473,91;11/01/2006;171,19
12/01/2006;5735,20;12/01/2006;836,14;12/01/2006;652,50;12/01/2006;1242,00;12/01/2006;1473,89;12/01/2006;2855,00;12/01/2006;852,50;12/01/2006;183,33;12/01/2006;2296,57;12/01/2006;1311,11;12/01/2006;477,74;12/01/2006;253,49;12/01/2006;905,60;12/01/2006;1833,60;12/01/2006;850,50;12/01/2006;565,41;12/01/2006;508,36;12/01/2006;1442,79;12/01/2006;261,61;12/01/2006;406,28;12/01/2006;406,50;12/01/2006;963,16;12/01/2006;1061,90;12/01/2006;2049,95;12/01/2006;631,88;12/01/2006;220,50;12/01/2006;127,50;12/01/2006;643,50;12/01/2006;6133,87;12/01/2006;1031,00;12/01/2006;519,50;12/01/2006;146,79;12/01/2006;543,00;12/01/2006;158,70;12/01/2006;223,43;12/01/2006;838,00;12/01/2006;796,54;12/01/2006;5380,72;12/01/2006;3310,00;12/01/2006;222,78;12/01/2006;1734,00;12/01/2006;271,93;12/01/2006;1514,25;12/01/2006;686,50;12/01/2006;533,73;12/01/2006;878,29;12/01/2006;1525,84;12/01/2006;234,00;12/01/2006;164,25;12/01/2006;854,12;12/01/2006;198,50;12/01/2006;313,75;12/01/2006;1327,41;12/01/2006;468,17;12/01/2006;171,02
